Member,Group
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-10
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-23
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-39
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-9
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-27
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-26
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-31
"cn=grp-Fabrikam-universal-10,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-32
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-25
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-37
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-10
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-7
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-16
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-7
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-15
"cn=grp-Fabrikam-universal-7,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-22
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-29
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-21
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-21
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-20
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-7
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-18
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-30
"cn=grp-Fabrikam-universal-9,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-11
"cn=grp-Fabrikam-universal-16,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-6
"cn=grp-Fabrikam-universal-16,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-24
"cn=grp-Fabrikam-universal-16,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-34
"cn=grp-Fabrikam-universal-16,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-18
"cn=grp-Fabrikam-universal-16,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-5
"cn=grp-Fabrikam-universal-16,OU=Security Groups,OU=Groups,DC=fabrikamad,DC=com",grp-Contoso-local-32
