Path,Type
C:\File_Share\Account Management\,directory
C:\File_Share\Accounting\,directory
C:\File_Share\Advertising Market Research\,directory
C:\File_Share\Corporate Communications\,directory
C:\File_Share\Customer Service\,directory
C:\File_Share\Data Entry\,directory
C:\File_Share\Finance\,directory
C:\File_Share\Human Resources\,directory
C:\File_Share\Information Technology\,directory
C:\File_Share\IT Support\,directory
C:\File_Share\Logistics\,directory
C:\File_Share\Marketing\,directory
C:\File_Share\Operations\,directory
C:\File_Share\Payroll\,directory
C:\File_Share\Public Relations\,directory
C:\File_Share\Purchasing\,directory
C:\File_Share\Recruitment\,directory
C:\File_Share\Research and Development\,directory
C:\File_Share\Sales\,directory
C:\File_Share\Service Desk Operators\,directory
C:\File_Share\Strategic Information Systems\,directory
C:\File_Share\Strategic Marketing\,directory
C:\File_Share\Strategic Sourcing\,directory
C:\File_Share\Telesales\,directory
C:\File_Share\tier2admins\,directory
C:\File_Share\Training\,directory
C:\File_Share\Account Management\0syjfwgz.mpeg,file
C:\File_Share\Account Management\45of4j4l.dot,file
C:\File_Share\Account Management\5kux4cmj.mpeg3,file
C:\File_Share\Account Management\cjehmioz.mp4,file
C:\File_Share\Account Management\fooj0if5.rm,file
C:\File_Share\Account Management\gq1u2frt.mpeg2,file
C:\File_Share\Account Management\hawll4sn.dot,file
C:\File_Share\Account Management\ireitoka.pptx,file
C:\File_Share\Account Management\jud2cfrb.docx,file
C:\File_Share\Account Management\kffq2gzj.docx,file
C:\File_Share\Account Management\lcvry5yy.doc,file
C:\File_Share\Account Management\me2rwlze.rm,file
C:\File_Share\Account Management\o5f3s0a0.docx,file
C:\File_Share\Account Management\pdphqydl.mp4,file
C:\File_Share\Account Management\v5wofyjz.ram,file
C:\File_Share\Account Management\wodekygm.mpeg,file
C:\File_Share\Account Management\x0wgwb3t.ppt,file
C:\File_Share\Account Management\x1dkkojb.pptx,file
C:\File_Share\Accounting\2butzhii.mov,file
C:\File_Share\Accounting\2un35cfp.ppt,file
C:\File_Share\Accounting\a0g0be53.wma,file
C:\File_Share\Accounting\bjl4lxev.dot,file
C:\File_Share\Accounting\bp0demm1.mp3,file
C:\File_Share\Accounting\by4ml5s0.doc,file
C:\File_Share\Accounting\cqv0owhl.doc,file
C:\File_Share\Accounting\cswlywt0.mpeg,file
C:\File_Share\Accounting\cz2or1tu.mpeg3,file
C:\File_Share\Accounting\eidihb4b.mpg,file
C:\File_Share\Accounting\enwc10yi.docx,file
C:\File_Share\Accounting\f240esh3.pptx,file
C:\File_Share\Accounting\h3qkui23.dot,file
C:\File_Share\Accounting\i1tm0y4d.mpg,file
C:\File_Share\Accounting\jpu1b3ty.wma,file
C:\File_Share\Accounting\mn3u2mxr.doc,file
C:\File_Share\Accounting\molq3kl0.wma,file
C:\File_Share\Accounting\opzlilgr.docx,file
C:\File_Share\Accounting\ptytwdhe.wmv,file
C:\File_Share\Accounting\pz0m252q.mov,file
C:\File_Share\Accounting\ruvakgkh.ram,file
C:\File_Share\Accounting\sllgxab5.rm,file
C:\File_Share\Accounting\snprs2an.wma,file
C:\File_Share\Accounting\u12npeor.doc,file
C:\File_Share\Accounting\v3q411vk.pptx,file
C:\File_Share\Accounting\vzymso1z.docx,file
C:\File_Share\Accounting\w0m34xjb.wma,file
C:\File_Share\Accounting\yelykzfq.wma,file
C:\File_Share\Advertising Market Research\0pkqawby.mpeg3,file
C:\File_Share\Advertising Market Research\0xrmwgz4.mp4,file
C:\File_Share\Advertising Market Research\1vcnl4dk.xls,file
C:\File_Share\Advertising Market Research\2xw0vznz.docx,file
C:\File_Share\Advertising Market Research\3adzybxd.wmv,file
C:\File_Share\Advertising Market Research\5rg0juat.mpeg3,file
C:\File_Share\Advertising Market Research\5rjo12vv.pdf,file
C:\File_Share\Advertising Market Research\apt52os2.wmv,file
C:\File_Share\Advertising Market Research\ccu3qbop.doc,file
C:\File_Share\Advertising Market Research\e5qopdfb.docx,file
C:\File_Share\Advertising Market Research\ekuv4531.pdf,file
C:\File_Share\Advertising Market Research\f4aaqqa2.mpeg,file
C:\File_Share\Advertising Market Research\feevldjq.mpeg,file
C:\File_Share\Advertising Market Research\galakrlz.mp4,file
C:\File_Share\Advertising Market Research\h53gwuku.mpeg3,file
C:\File_Share\Advertising Market Research\hlpjcxt0.doc,file
C:\File_Share\Advertising Market Research\hrflokww.pptx,file
C:\File_Share\Advertising Market Research\io5usba5.doc,file
C:\File_Share\Advertising Market Research\j4kngdwy.mpg,file
C:\File_Share\Advertising Market Research\kmdyje55.mov,file
C:\File_Share\Advertising Market Research\l1rj1xp1.rm,file
C:\File_Share\Advertising Market Research\nyikzpjj.ram,file
C:\File_Share\Advertising Market Research\nziczohf.mov,file
C:\File_Share\Advertising Market Research\o0qcsalz.doc,file
C:\File_Share\Advertising Market Research\odqhjxta.mpg,file
C:\File_Share\Advertising Market Research\pbuwpcg5.pptx,file
C:\File_Share\Advertising Market Research\pgjal2tw.doc,file
C:\File_Share\Advertising Market Research\v2lhq2ih.midi,file
C:\File_Share\Advertising Market Research\wwgqwthm.wmv,file
C:\File_Share\Advertising Market Research\x2d5oas2.pptx,file
C:\File_Share\Corporate Communications\14dkktbo.mpeg3,file
C:\File_Share\Corporate Communications\1pcxj5vi.wma,file
C:\File_Share\Corporate Communications\1tdstkcf.docx,file
C:\File_Share\Corporate Communications\aftj5mla.mpeg2,file
C:\File_Share\Corporate Communications\aqfzhb0z.dot,file
C:\File_Share\Corporate Communications\bkv33xsv.mp4,file
C:\File_Share\Corporate Communications\bpak1wut.docx,file
C:\File_Share\Corporate Communications\compbmau.mp4,file
C:\File_Share\Corporate Communications\ftuioffg.ppt,file
C:\File_Share\Corporate Communications\fx3z25q4.dot,file
C:\File_Share\Corporate Communications\k5dsco4k.wmv,file
