GroupName,Type
Logistics,Global
Information Technology,Global
IT Support,Global
Strategic Information Systems,Global
Data Entry,Global
Research and Development,Global
Strategic Sourcing,Global
Purchasing,Global
Operations,Global
Public Relations,Global
Corporate Communications,Global
Advertising Market Research,Global
Strategic Marketing,Global
Customer Service,Global
Telesales,Global
Account Management,Global
Marketing,Global
Sales,Global
Payroll,Global
Recruitment,Global
Training,Global
Human Resources,Global
Accounting,Global
Finance,Global
grp-Fabrikam-local-1,DomainLocal
grp-Fabrikam-local-2,DomainLocal
grp-Fabrikam-local-3,DomainLocal
grp-Fabrikam-local-4,DomainLocal
grp-Fabrikam-local-5,DomainLocal
grp-Fabrikam-local-6,DomainLocal
grp-Fabrikam-local-7,DomainLocal
grp-Fabrikam-local-8,DomainLocal
grp-Fabrikam-local-9,DomainLocal
grp-Fabrikam-local-10,DomainLocal
grp-Fabrikam-local-11,DomainLocal
grp-Fabrikam-local-12,DomainLocal
grp-Fabrikam-universal-1,Universal
grp-Fabrikam-universal-2,Universal
grp-Fabrikam-universal-3,Universal
grp-Fabrikam-universal-4,Universal
grp-Fabrikam-universal-5,Universal
grp-Fabrikam-universal-6,Universal
grp-Fabrikam-universal-7,Universal
grp-Fabrikam-universal-8,Universal
grp-Fabrikam-universal-9,Universal
grp-Fabrikam-universal-10,Universal
grp-Fabrikam-universal-11,Universal
grp-Fabrikam-universal-12,Universal
grp-Fabrikam-universal-13,Universal
grp-Fabrikam-universal-14,Universal
grp-Fabrikam-universal-15,Universal
grp-Fabrikam-universal-16,Universal
grp-Fabrikam-universal-17,Universal
grp-Fabrikam-universal-18,Universal
grp-Fabrikam-universal-19,Universal
tier2admins,Global
Service Desk Operators,Global
