Manager,Group
212509,Logistics
746731,Information Technology
501251,IT Support
132984,Strategic Information Systems
121352,Data Entry
422249,Research and Development
657869,Strategic Sourcing
767893,Purchasing
657258,Operations
314812,Public Relations
973000,Corporate Communications
469037,Advertising Market Research
782330,Strategic Marketing
942569,Customer Service
891476,Telesales
800739,Account Management
521462,Marketing
112230,Sales
622960,Payroll
440036,Recruitment
926767,Training
528989,Human Resources
651786,Accounting
656600,Finance
