Member,Group
119722,Accounting
782330,Strategic Marketing
573309,Logistics
118133,Strategic Sourcing
767893,Purchasing
699699,Operations
893398,Telesales
680505,Sales
337599,Account Management
528989,Human Resources
406996,Strategic Marketing
635584,Logistics
830335,Sales
803914,Recruitment
164450,Customer Service
587865,Human Resources
786629,Finance
807802,Finance
657869,Strategic Sourcing
957675,Strategic Sourcing
987701,IT Support
169485,Public Relations
460949,Strategic Information Systems
818704,Public Relations
266478,Research and Development
961191,Data Entry
155325,Research and Development
553038,Human Resources
846311,Accounting
387421,Recruitment
710027,Research and Development
546111,IT Support
656700,Strategic Information Systems
112230,Sales
290319,Corporate Communications
988494,Account Management
831605,Operations
583185,Strategic Information Systems
187365,Strategic Marketing
393510,Finance
220173,Finance
882234,Information Technology
574297,Finance
550434,Advertising Market Research
167686,Customer Service
852382,Logistics
483965,Account Management
565400,Payroll
657258,Operations
755893,Recruitment
501251,IT Support
653183,Account Management
748741,Operations
490238,Corporate Communications
559858,Public Relations
208679,Operations
490175,Strategic Marketing
203420,Payroll
842911,Finance
533961,Logistics
580831,Sales
903348,Purchasing
674026,Customer Service
837033,Accounting
402728,Research and Development
159561,Advertising Market Research
170854,Research and Development
688648,Advertising Market Research
105583,Recruitment
266373,IT Support
312632,Strategic Marketing
212509,Logistics
602317,Data Entry
318336,Accounting
900607,Logistics
908743,Logistics
810466,IT Support
371553,Accounting
440036,Recruitment
622960,Payroll
134445,Human Resources
800739,Account Management
222428,IT Support
654574,Operations
118770,Strategic Marketing
896519,Operations
383170,Finance
806497,Account Management
838092,Account Management
671502,Information Technology
943271,Finance
523478,Information Technology
995569,Recruitment
649845,Advertising Market Research
508024,Purchasing
769904,Strategic Sourcing
142909,Information Technology
826991,Human Resources
808787,Recruitment
551043,Strategic Sourcing
623169,Human Resources
929175,Accounting
167620,Recruitment
856827,Sales
771515,Sales
852322,Operations
676047,Marketing
657681,Marketing
905074,Corporate Communications
499968,Research and Development
357203,Account Management
898153,Purchasing
598647,Strategic Sourcing
207466,Recruitment
555822,Strategic Sourcing
581075,Strategic Information Systems
492068,Corporate Communications
465673,Sales
923442,Advertising Market Research
642069,Human Resources
566939,Information Technology
670458,Operations
904990,Operations
316364,Telesales
633710,Payroll
214037,Telesales
729448,Human Resources
543974,Accounting
346945,Operations
407209,Strategic Sourcing
827309,Information Technology
144288,Operations
160492,Public Relations
320368,Customer Service
408232,Accounting
645962,IT Support
985384,Purchasing
656600,Finance
238813,Strategic Information Systems
107982,Logistics
988286,Marketing
577965,Operations
456686,Recruitment
832213,Data Entry
774132,Recruitment
643662,Corporate Communications
578718,Account Management
240476,Telesales
132984,Strategic Information Systems
757822,Customer Service
234456,Finance
641836,Data Entry
275001,Payroll
911744,Strategic Sourcing
458465,Purchasing
190408,Accounting
739201,Operations
783805,Data Entry
291552,Advertising Market Research
420069,Strategic Information Systems
471774,Information Technology
647597,Operations
636183,Telesales
519698,IT Support
651786,Accounting
499511,Data Entry
435006,IT Support
203190,Strategic Marketing
912615,Marketing
393116,Human Resources
659668,Research and Development
252533,Information Technology
857667,Research and Development
689683,Accounting
509529,Operations
895060,Data Entry
878425,IT Support
902469,Research and Development
397994,Human Resources
117336,Strategic Sourcing
269002,Training
262234,Recruitment
942569,Customer Service
520182,Logistics
131192,Information Technology
843306,Strategic Sourcing
422249,Research and Development
990838,Payroll
784982,Advertising Market Research
559026,Operations
915028,Data Entry
334810,Logistics
352905,Operations
121352,Data Entry
973000,Corporate Communications
644245,Sales
974898,Corporate Communications
653428,Purchasing
357824,Public Relations
603454,Data Entry
329183,Account Management
408051,Corporate Communications
716881,Finance
286918,Customer Service
299306,Advertising Market Research
814262,Training
945003,Human Resources
758811,Recruitment
590625,Finance
181494,Corporate Communications
549887,Logistics
923770,Logistics
919843,Strategic Marketing
941629,Training
545208,Purchasing
954167,Data Entry
858037,Corporate Communications
448239,Finance
709924,Accounting
726980,Data Entry
251430,Recruitment
350992,Strategic Sourcing
656172,Account Management
283642,Purchasing
730825,Marketing
780945,Data Entry
689236,IT Support
757633,Accounting
237867,Training
101477,IT Support
941188,Information Technology
750472,Logistics
914525,Recruitment
905485,Public Relations
975781,Strategic Marketing
536069,Recruitment
891476,Telesales
148785,Operations
727585,IT Support
250789,Operations
101074,Customer Service
682007,Information Technology
482830,Strategic Information Systems
270850,Marketing
220572,Accounting
521462,Marketing
829115,Information Technology
616674,Information Technology
442362,Finance
377525,Logistics
135975,IT Support
504757,Customer Service
308514,Finance
206006,Information Technology
834149,Sales
716773,Human Resources
146074,Account Management
189254,Strategic Marketing
544724,Purchasing
392874,Human Resources
413830,Training
703258,Information Technology
314812,Public Relations
111862,Logistics
746731,Information Technology
118445,Payroll
469037,Advertising Market Research
650934,Telesales
926767,Training
984707,Payroll
829696,Payroll
119722,grp-Fabrikam-universal-19
119722,grp-Fabrikam-universal-1
782330,grp-Fabrikam-universal-14
782330,grp-Fabrikam-universal-17
573309,grp-Fabrikam-local-5
573309,grp-Fabrikam-local-10
118133,grp-Fabrikam-local-10
118133,grp-Fabrikam-universal-5
767893,grp-Fabrikam-universal-18
767893,grp-Fabrikam-universal-9
699699,grp-Fabrikam-universal-15
699699,grp-Fabrikam-universal-5
893398,grp-Fabrikam-universal-5
893398,grp-Fabrikam-universal-13
680505,grp-Fabrikam-universal-12
680505,grp-Fabrikam-universal-6
337599,grp-Fabrikam-universal-7
337599,grp-Fabrikam-local-7
528989,grp-Fabrikam-universal-11
528989,grp-Fabrikam-local-12
406996,grp-Fabrikam-local-7
406996,grp-Fabrikam-local-1
635584,grp-Fabrikam-universal-1
635584,grp-Fabrikam-universal-2
830335,grp-Fabrikam-local-11
830335,grp-Fabrikam-local-9
803914,grp-Fabrikam-local-6
803914,grp-Fabrikam-universal-1
164450,grp-Fabrikam-universal-16
164450,grp-Fabrikam-universal-13
587865,grp-Fabrikam-universal-7
587865,grp-Fabrikam-local-9
786629,grp-Fabrikam-universal-10
786629,grp-Fabrikam-local-6
807802,grp-Fabrikam-local-5
807802,grp-Fabrikam-universal-16
657869,grp-Fabrikam-universal-9
657869,grp-Fabrikam-universal-7
957675,grp-Fabrikam-universal-1
957675,grp-Fabrikam-local-9
987701,grp-Fabrikam-universal-4
987701,grp-Fabrikam-universal-9
169485,grp-Fabrikam-local-12
169485,grp-Fabrikam-local-3
460949,grp-Fabrikam-universal-15
460949,grp-Fabrikam-local-9
818704,grp-Fabrikam-local-10
818704,grp-Fabrikam-universal-4
266478,grp-Fabrikam-universal-4
266478,grp-Fabrikam-local-7
961191,grp-Fabrikam-universal-14
961191,grp-Fabrikam-local-8
155325,grp-Fabrikam-universal-19
155325,grp-Fabrikam-universal-4
553038,grp-Fabrikam-local-3
553038,grp-Fabrikam-universal-7
846311,grp-Fabrikam-universal-16
846311,grp-Fabrikam-universal-5
387421,grp-Fabrikam-local-2
387421,grp-Fabrikam-universal-2
710027,grp-Fabrikam-local-9
710027,grp-Fabrikam-local-4
546111,grp-Fabrikam-universal-2
546111,grp-Fabrikam-universal-18
656700,grp-Fabrikam-universal-3
656700,grp-Fabrikam-universal-6
112230,grp-Fabrikam-universal-6
112230,grp-Fabrikam-universal-6
290319,grp-Fabrikam-universal-17
290319,grp-Fabrikam-universal-2
988494,grp-Fabrikam-universal-7
988494,grp-Fabrikam-universal-15
831605,grp-Fabrikam-universal-5
831605,grp-Fabrikam-universal-13
583185,grp-Fabrikam-universal-10
583185,grp-Fabrikam-local-8
187365,grp-Fabrikam-universal-17
187365,grp-Fabrikam-local-10
393510,grp-Fabrikam-local-4
393510,grp-Fabrikam-local-9
220173,grp-Fabrikam-local-9
220173,grp-Fabrikam-universal-13
882234,grp-Fabrikam-universal-4
882234,grp-Fabrikam-local-9
